1,0.6546402,0.9136098,0.7234651,0.8616091,0.6554523,0.8452325,0.5729555,0.7953091,0.400352,0.7483391,0.2848795,0.3875982,0.01244554,0.286541,0,0.1010421,0.1215716,0.04027045,0.2065744,0.003132998,0.415513,0.03021866,0.661921,0.1364797,0.8437858,0.2140387,0.9186261,0.4023625,1,0.6230208,0.9950694,0.785518,0.9020691,0.8464768,0.841601,0.9161011,0.6812454,0.9225716,0.4291125,0.9225716,0.4291125,Ball
1,0.6989873,0.9910547,0.7288486,0.9575032,0.6338063,0.9276521,0.542886,0.7085397,0.2267113,0.4887259,0.03078233,0.3606622,0,0.2704031,0.02052631,0.1772715,0.08724695,0.07300718,0.2949539,0,0.5383307,0.02306925,0.6704407,0.1266661,0.8571317,0.2097367,0.9311758,0.321461,0.9678084,0.5400785,1,0.6416164,0.9783545,0.8251881,0.8299983,0.89661,0.7505938,0.9589431,0.3197045,0.9589431,0.3197045,Ball
0.9886054,0.2897239,0.9217867,0.2188187,0.8297428,0.1508883,0.6401571,0.004704876,0.5273113,0,0.4215783,0.005271789,0.1997652,0.1290532,0.1034128,0.2235298,0.04515428,0.3436581,0.01296452,0.4802495,0.02068315,0.7459697,0.07631934,0.849725,0.1502966,0.9157199,0.4309002,1,0.5565238,0.9901335,0.8006791,0.8927396,0.8915654,0.8080718,0.9546351,0.7525447,0.988952,0.647442,1,0.5537798,1,0.5537798,Ball
0.9824107,0.2335326,0.9146448,0.2239262,0.7730454,0.1633688,0.6866794,0.06675006,0.4319763,0,0.4319763,0,0.2268786,0.1050322,0.1284256,0.1984876,0.0597189,0.281443,0.04389451,0.4021042,0.02013378,0.685681,0.06386745,0.7843184,0.1411064,0.8785616,0.2629797,0.9421818,0.3715359,0.9831923,0.6755964,0.9614722,0.8146244,0.9230505,0.9109693,0.8206562,0.9621554,0.7586624,1,0.6506653,1,0.6506653,Ball
1,0.2324958,0.7577765,0.09634413,0.631089,0.02317615,0.3963681,0.02186629,0.1971817,0.1260033,0.1239756,0.1914967,0,0.4082644,0.005431332,0.551451,0.04843009,0.7785923,0.2345734,0.9348124,0.7689252,0.245099,0.6623597,1,0.7681915,0.967639,0.918004,0.8506556,0.9730732,0.6872316,0.944939,0.5190858,0.9347534,0.4537752,0.8536971,0.3307553,0.8164499,0.2949663,0.7689252,0.245099,0.7689252,0.245099,Ball
0.8647917,0.2632201,0.9023789,0.3919933,0.9230108,0.4375556,0.9162815,0.5385274,0.892005,0.6825536,0.8655741,0.7804699,0.727137,0.9194593,0.625469,0.9690744,0.3787679,1,0.1004888,0.8436686,0.03935453,0.7492549,0.01850849,0.4735148,0.1117045,0.2795809,0.2157338,0.1815714,0.4140468,0.0412627,0.6690841,0,0.8966684,0.04003782,0.9666285,0.076524,0.9900714,0.2408552,0.9718682,0.2682137,0.9718682,0.2682137,Ball
0.9498465,0.3717827,1,0.5081092,0.9329839,0.6677897,0.8064814,0.8449407,0.610742,0.9697638,0.4148114,0.9897234,0.3439116,1,0.1436255,0.8727238,0.03777365,0.7174413,0,0.5505925,0.0581213,0.2378424,0.08679242,0.1652387,0.2793017,0.04043456,0.3823993,0.02230371,0.5221327,0,0.7058169,0.07512205,0.7551899,0.1068566,0.8738876,0.2287996,0.8820512,0.2750975,0.880786,0.3200914,0.8344682,0.1447023,Ball
0.9538982,0.4610399,0.9980901,0.5700008,0.9783947,0.7256417,0.8666877,0.8872567,0.8164947,0.940774,0.8831741,0.3029961,0.3257809,0.9803008,0.1990445,0.9781452,0.04386614,0.7093857,0,0.6396037,0.8831741,0.3029961,0.2334135,0.2153308,0.3870488,0.1141473,0.4666153,0.06387974,0.6583431,0,0.8831741,0.3029961,0.8625383,0.1323836,0.8940608,0.2521289,0.8896941,0.3315455,0.8831741,0.3029961,0.8831741,0.3029961,Ball
0.9428944,0.3798954,0.9984133,0.5547923,0.9462997,0.6634485,0.7620367,0.8803279,0.6390416,0.9663918,0.5160763,0.9834414,0.2383317,0.965452,0.05474018,0.8491346,0.01343648,0.7478812,0.0102451,0.5623881,0.07689819,0.3342842,0.1469042,0.2367894,0.3190511,0.122591,0.5695921,0.03956924,0.6580476,0.06718792,0.7350838,0.1290366,0.8458367,0.2187912,0.8651238,0.2641654,0.88305,0.327247,0.7537493,0,0.7537493,0,Ball
0.8714504,0.08924305,0.9597008,0.3077076,1,0.4613211,0.9497597,0.6816924,0.8842253,0.7790212,0.7422451,0.9423293,0.5411922,1,0.3784589,0.9834813,0.1064105,0.8637017,0.04222965,0.7908209,0.01625499,0.5686707,0.02644785,0.3261338,0.2087658,0.1574123,0.3107325,0.08501007,0.3904529,0.03733564,0.7252313,0.07591553,0.7721433,0.107691,0.8233146,0.1607357,0.7560726,0.1835169,0.7204741,0,0.7204741,0,Ball
