X0, Y0, X5, Y5, X10, Y10, X15, Y15, X20, Y20, X25, Y25, X30, Y30, X35, Y35, X40, Y40, X45, Y45, X50, Y50, X55, Y55, X60, Y60, X65, Y65, X70, Y70, X75, Y75, X80, Y80, X85, Y85, X90, Y90, X95, Y95, X100, Y100, Symbol
1, 0.9686731, 0.9523479, 1, 0.7914791, 0.9324815, 0.6462393, 0.8768992, 0.599112, 0.6803841, 0.5144461, 0.4710103, 0.3762567, 0.3833182, 0.1191066, 0.2305107, 0.2839159, 0.1370896, 0, 0.08328822, 0.667127, 0.09760185, 0.5296371, 0, 0.4541819, 0.02794142, 0.5407243, 0.04053071, 0.6175475, 0.03260385, 0.6623191, 0.02975081, 0.7009506, 0.03131289, 0.7453511, 0.02164938, 0.7917601, 0.05585627, 0.7917601, 0.05585627, 0.667127, 0.09760185, l
0.3305167, 0.8743501, 0.1680678, 0.9597747, 0.1192966, 0.988409, 0.1192966, 0.988409, 0, 0.9805907, 0.009993351, 0.9464935, 0.1472344, 0.900056, 0.1354746, 0.8271759, 0.1643338, 0.7371086, 0.1541262, 0.6529418, 1, 0, 0.3460526, 0.4891563, 0.4562043, 0.4093728, 0.5444993, 0.3213556, 0.5444993, 0.3213556, 0.5704546, 0.2436362, 0.8046672, 0.05701085, 0.8032776, 0.01135705, 0.8032776, 0.01135705, 1, 0, 1, 0, l
0.8057396, 0.6963372, 0.7388105, 0.776912, 0.5291467, 0.8747044, 0.4852829, 0.9660519, 0.3751527, 0.9988169, 0.3676541, 1, 0.4181057, 0.9271047, 0.4903828, 0.8748877, 0.5638347, 0.7958058, 0.5157012, 0.6375146, 0.447611, 0.5506548, 0.4659219, 0.4936266, 0.4891139, 0.3361068, 0.5248268, 0.2755464, 0.5502269, 0.2297764, 0, 0, 0.799377, 0.07382436, 0.8863938, 0.06386255, 1, 0.06926119, 0.9527743, 0.08105379, 0.9527743, 0.08105379, l
0.4617928, 0.6384789, 0.3660597, 0.7735342, 0.2555793, 0.8362293, 0.1574833, 0.9703892, 0.09266011, 0.9954224, 0.03901041, 1, 0.01476195, 0.9774654, 0.1122446, 0.9423753, 0.1328927, 0.8842876, 0.3598777, 0.7562887, 0.4445119, 0.6729842, 0.4479665, 0.589681, 0.5291032, 0.4116842, 0.6430083, 0.3370294, 0.7602402, 0.2455776, 0.9868153, 0.1122836, 1, 0.05876996, 0.7848575, 0.01524909, 0.93964, 0, 0.93964, 0, 0.93964, 0, l
0.2802973, 0.7685092, 0, 0.8525015, 0.1470123, 0.9760932, 0.1404543, 0.9889378, 0.08855093, 1, 0.09464753, 0.9862115, 0.251182, 0.947062, 0.4245513, 0.8293644, 0.4245513, 0.8293644, 0.5637206, 0.6921567, 1, 0.03069658, 0.6831626, 0.4259169, 0.8576275, 0.2583923, 0.9562246, 0.1713655, 0.7885943, 0.03681631, 0.8459536, 0.02738601, 0.9051071, 0, 0.9926828, 0.004305321, 0.9926828, 0.004305321, 1, 0.03069658, 1, 0.03069658, l
0.8647917, 0.2632201, 0.9023789, 0.3919933, 0.9230108, 0.4375556, 0.9162815, 0.5385274, 0.892005, 0.6825536, 0.8655741, 0.7804699, 0.727137, 0.9194593, 0.625469, 0.9690744, 0.3787679, 1, 0.1004888, 0.8436686, 0.03935453, 0.7492549, 0.01850849, 0.4735148, 0.1117045, 0.2795809, 0.2157338, 0.1815714, 0.4140468, 0.0412627, 0.6690841, 0, 0.8966684, 0.04003782, 0.9666285, 0.076524, 0.9900714, 0.2408552, 0.9718682, 0.2682137, 0.9718682, 0.2682137, O
0.9498465, 0.3717827, 1, 0.5081092, 0.9329839, 0.6677897, 0.8064814, 0.8449407, 0.610742, 0.9697638, 0.4148114, 0.9897234, 0.3439116, 1, 0.1436255, 0.8727238, 0.03777365, 0.7174413, 0, 0.5505925, 0.0581213, 0.2378424, 0.08679242, 0.1652387, 0.2793017, 0.04043456, 0.3823993, 0.02230371, 0.5221327, 0, 0.7058169, 0.07512205, 0.7551899, 0.1068566, 0.8738876, 0.2287996, 0.8820512, 0.2750975, 0.880786, 0.3200914, 0.8344682, 0.1447023, O
0.9538982, 0.4610399, 0.9980901, 0.5700008, 0.9783947, 0.7256417, 0.8666877, 0.8872567, 0.8164947, 0.940774, 0.8831741, 0.3029961, 0.3257809, 0.9803008, 0.1990445, 0.9781452, 0.04386614, 0.7093857, 0, 0.6396037, 0.8831741, 0.3029961, 0.2334135, 0.2153308, 0.3870488, 0.1141473, 0.4666153, 0.06387974, 0.6583431, 0, 0.8831741, 0.3029961, 0.8625383, 0.1323836, 0.8940608, 0.2521289, 0.8896941, 0.3315455, 0.8831741, 0.3029961, 0.8831741, 0.3029961, O
0.9428944, 0.3798954, 0.9984133, 0.5547923, 0.9462997, 0.6634485, 0.7620367, 0.8803279, 0.6390416, 0.9663918, 0.5160763, 0.9834414, 0.2383317, 0.965452, 0.05474018, 0.8491346, 0.01343648, 0.7478812, 0.0102451, 0.5623881, 0.07689819, 0.3342842, 0.1469042, 0.2367894, 0.3190511, 0.122591, 0.5695921, 0.03956924, 0.6580476, 0.06718792, 0.7350838, 0.1290366, 0.8458367, 0.2187912, 0.8651238, 0.2641654, 0.88305, 0.327247, 0.7537493, 0, 0.7537493, 0, O
0.8714504, 0.08924305, 0.9597008, 0.3077076, 1, 0.4613211, 0.9497597, 0.6816924, 0.8842253, 0.7790212, 0.7422451, 0.9423293, 0.5411922, 1, 0.3784589, 0.9834813, 0.1064105, 0.8637017, 0.04222965, 0.7908209, 0.01625499, 0.5686707, 0.02644785, 0.3261338, 0.2087658, 0.1574123, 0.3107325, 0.08501007, 0.3904529, 0.03733564, 0.7252313, 0.07591553, 0.7721433, 0.107691, 0.8233146, 0.1607357, 0.7560726, 0.1835169, 0.7204741, 0, 0.7204741, 0, O
0.9712341, 0.3136371, 0.9712341, 0.3136371, 0.9194828, 0.7591763, 0.9194828, 0.7591763, 0.8149083, 0, 0.5155112, 1, 0.3640114, 0.9812276, 0.1428278, 0.8753185, 0.06818076, 0.8030208, 0, 0.5807134, 0.01124832, 0.478189, 0.1230772, 0.259986, 0.8149083, 0, 0.3338941, 0.1412632, 0.5379764, 0.08634599, 0.7741823, 0.1286706, 0.8533705, 0.1516937, 0.954281, 0.2560862, 0.9355405, 0.2960991, 0.8149083, 0, 0.8149083, 0, O
0.9747775, 0.3797917, 0.9307653, 0.6699763, 0.7705686, 0.9199878, 0.7705686, 0.9199878, 0.9575999, 0.0893969, 0.4164595, 0.9684475, 0.1536817, 0.8366501, 0.1536817, 0.8366501, 0.9575999, 0.0893969, 0.02104277, 0.4053625, 0.02104277, 0.4053625, 0.06047178, 0.2913099, 0.9575999, 0.0893969, 0.5715067, 0, 0.7011527, 0.01280928, 0.7973142, 0.02098872, 0.9575999, 0.0893969, 1, 0.1164049, 0.9575999, 0.0893969, 0.9575999, 0.0893969, 0.9575999, 0.0893969, O
0.8075905, 0.3803917, 0.9390496, 0.4859272, 0.9664319, 0.5465009, 0.9604314, 0.7236871, 0.903287, 0.804983, 0.8204144, 0.8922272, 0.5720859, 1, 0.243053, 0.9437125, 0.243053, 0.9437125, 0.01742751, 0.816353, 0.01137555, 0.6197018, 0.06000075, 0.5389816, 0.1534647, 0.4325542, 0.4056893, 0.2449824, 0.5435084, 0.2145803, 0.7447529, 0.2362755, 0.7805657, 0.2750088, 0.7799923, 0.3396572, 0.7215909, 0.1878763, 0.6241404, 0, 0.6241404, 0, O
0.9378477, 0.1037562, 0.9616533, 0.2707225, 0.9817114, 0.5356185, 0.9391705, 0.6500375, 0.8518837, 0.7916406, 0.6285551, 0.9519905, 0.4719414, 0.9988782, 0.1689148, 0.9238506, 0.08125518, 0.8307311, 0, 0.5995921, 0.02690355, 0.4874469, 0.06306668, 0.3448721, 0.2036964, 0.170608, 0.3107681, 0.08123564, 0.5813177, 0, 0.6757524, 0.008799024, 0.7741697, 0.1075257, 0.8075423, 0.1656478, 0.8429019, 0.2256296, 0.798423, 0.2434329, 0.798423, 0.2434329, O
0.7649152, 0.1570936, 0.8539392, 0.2400135, 0.9463141, 0.2896293, 0.9952264, 0.4886934, 0.9691083, 0.6328873, 0.8917133, 0.7455294, 0.7817808, 0.8628566, 0.4907961, 1, 0.1679354, 0.9381472, 0.1679354, 0.9381472, 0.7994629, 0, 0, 0.6003118, 0.1207813, 0.3579751, 0.1207813, 0.3579751, 0.2845224, 0.1454365, 0.3883838, 0.05651781, 0.5539387, 0.02161876, 0.7055067, 0.05503719, 0.7436247, 0.04120345, 0.7994629, 0, 0.7994629, 0, O
0.9643704, 0.1169604, 0.9819193, 0.3402728, 1, 0.5329382, 0.8913152, 0.7756269, 0.7826733, 0.8958187, 0.4957344, 1, 0.4957344, 1, 0.1734411, 0.9143521, 0.07992162, 0.8212218, 0, 0.539637, 0.04529277, 0.4147074, 0.121424, 0.2824138, 0.3409736, 0.06111471, 0.4564787, 0.006560425, 0.5956163, 0, 0.6902861, 0.01364504, 0.8367457, 0.07322723, 0.8929318, 0.1531023, 0.869585, 0.1466121, 0.8885826, 0.01759359, 0.8885826, 0.01759359, O
0.9770739, 0.2349317, 0.9770739, 0.2349317, 1, 0.5405967, 0.9642308, 0.6889784, 0.7838855, 0.9118959, 0.663249, 0.9803347, 0.5268238, 1, 0.1674516, 0.9106631, 0.09434751, 0.8097346, 0, 0.5711326, 0.03727136, 0.4547922, 0.154605, 0.2123685, 0.2699361, 0.1062711, 0.387067, 0.02530055, 0.7142838, 0.01796744, 0.8198729, 0.04805, 0.936872, 0.1462445, 0.9795405, 0.2034494, 0.9762589, 0.2341419, 0.981884, 0.178242, 0.981884, 0.178242, O
0.9687977, 0.3526715, 0.9477795, 0.6508592, 0.7123957, 0.8715534, 0.7123957, 0.8715534, 0.4099635, 1, 0.2328238, 0.9726112, 0.0883973, 0.9026694, 0.007181331, 0.7840551, 0, 0.6900784, 0.06073161, 0.4219405, 0.8447273, 0.02794119, 0.253316, 0.1852449, 0.5572509, 0, 0.7073959, 0.01612336, 0.8706264, 0.09372502, 0.8706264, 0.09372502, 0.9851908, 0.2344525, 1, 0.2982291, 0.9775389, 0.2437429, 0.8447273, 0.02794119, 0.8447273, 0.02794119, O
1, 0.2267416, 0.9976547, 0.46957, 0.8300873, 0.7604718, 0.6952254, 0.8625875, 0.6952254, 0.8625875, 0.4235023, 1, 0.1683775, 0.8856799, 0, 0.6147076, 0, 0.6147076, 0.005289807, 0.3342715, 0.1098242, 0.2001598, 0.4013065, 0.02890196, 0.5622934, 0.003405923, 0.6824191, 0, 0.837769, 0.09028216, 0.837769, 0.09028216, 0.8924718, 0.269107, 0.8909682, 0.4161652, 0.857903, 0.442816, 0.8063909, 0.2886532, 0.8063909, 0.2886532, O
0.8646239, 0.3213876, 0.975177, 0.4622569, 1, 0.5500075, 0.9099816, 0.7593587, 0.7303129, 0.9415367, 0.589957, 0.9998666, 0.3163569, 0.9839932, 0.1805012, 0.9243905, 0.06810451, 0.8023904, 0, 0.5081361, 0.87481, 0.133577, 0.1981434, 0.164279, 0.2620799, 0.0740702, 0.5594141, 0, 0.6613926, 0.02495934, 0.7706829, 0.06040614, 0.8889535, 0.1325837, 0.8618752, 0.1914592, 0.9086997, 0.1844587, 0.87481, 0.133577, 0.87481, 0.133577, O
0.7012771, 0.09056545, 0.8277594, 0.2235008, 0.9398842, 0.2531124, 1, 0.4272613, 0.9801688, 0.5670266, 0.7907555, 0.8006708, 0.6904511, 0.8980069, 0.5734501, 0.9687561, 0.302613, 0.949725, 0.05567829, 0.7634461, 0, 0.6382142, 0.01663258, 0.4703605, 0.04306719, 0.2901349, 0.1677122, 0.122275, 0.3578796, 0.04590806, 0.3578796, 0.04590806, 0.5405502, 0.04049314, 0.669541, 0.07611845, 0.7233955, 0.08090014, 0.7236527, 0, 0.7236527, 0, O
0.9781919, 0.2334533, 0.9627735, 0.4690332, 0.9209017, 0.6407271, 0.7218144, 0.8932903, 0.4515351, 0.9926316, 0.2941018, 1, 0.1457431, 0.9373043, 0.0315813, 0.764353, 0.0315813, 0.764353, 0.02998182, 0.503581, 0.07808607, 0.3834239, 0.1531309, 0.2712156, 0.3770646, 0.1054976, 0.6068365, 0.005774348, 0.73612, 0, 0.8587888, 0.03218351, 0.9924878, 0.1142443, 0.9754376, 0.178005, 0.9754376, 0.178005, 1, 0.0413912, 1, 0.0413912, O
1, 0.3178538, 0.9571232, 0.5985609, 0.9086073, 0.7322814, 0.8170012, 0.8233178, 0.5321348, 0.9825726, 0.3865691, 1, 0.1143047, 0.8393964, 0.1143047, 0.8393964, 0, 0.523601, 0.09434165, 0.2990941, 0.2170427, 0.1926446, 0.2558943, 0.1179805, 0.4982214, 0.01059867, 0.6455885, 0, 0.7933738, 0.01023674, 0.890451, 0.01845671, 0.9925407, 0.142845, 0.9775525, 0.1845547, 0.8738426, 0.1374885, 0.8681444, 0.03670192, 0.8681444, 0.03670192, O
0.9157462, 0.7223113, 0.8356468, 0.8494764, 0.7403433, 0.464033, 0.4068935, 1, 0.7403433, 0.464033, 0.07084478, 0.768423, 0.7403433, 0.464033, 0, 0.4646131, 0.7403433, 0.464033, 0.2937528, 0.07863455, 0.7403433, 0.464033, 0.7611599, 0.01755664, 0.7403433, 0.464033, 1, 0.2293463, 0.7403433, 0.464033, 0.9592016, 0.4063756, 0.7403433, 0.464033, 0.8611467, 0.6850327, 0.7403433, 0.464033, 0.7403433, 0.464033, 0.7403433, 0.464033, O
0.8778462, 0.2814808, 0.9793111, 0.4812653, 1, 0.6356991, 0.9548244, 0.7351126, 0.7215642, 0.9287729, 0.5581192, 0.9803604, 0.4249419, 1, 0.1132391, 0.8687578, 0, 0.6539155, 0.01904408, 0.5263773, 0.05145917, 0.4065591, 0.1728671, 0.1682024, 0.3004466, 0.07391401, 0.466679, 0.02520973, 0.6537994, 0.05043482, 0.7087286, 0.09054153, 0.7920856, 0.2266023, 0.7895985, 0.2457414, 0.8274321, 0.1907781, 0.8274321, 0.1907781, 0.8274321, 0.1907781, O
